Date,Open,High,Low,Close,Volume
2025-10-07,3238.6,3248.39,3224.09,3227.91,2741250300
2025-10-08,3240.94,3264.29,3231.94,3235.66,2441414800
2025-10-09,3248.35,3257.77,3242.51,3257.77,2653522400
2025-10-10,3238.58,3238.58,3192.34,3197.59,2718074200
2025-10-14,3151.58,3180.11,3115.1,3133.99,3043429100
2025-10-15,3153.43,3186.72,3151.67,3183.64,2263581000
2025-10-16,3205.75,3216.29,3190.72,3203.42,2266086000
2025-10-17,3179.41,3196.31,3166.7,3170.44,2300777700
2025-10-20,3215.18,3248.45,3207.86,3248.45,2021362600
2025-10-21,3264.84,3274.06,3243.42,3249.5,2465838500
2025-10-22,3252.52,3274.94,3239.88,3266.43,2566873000
2025-10-23,3247.9,3256.41,3233.86,3253.78,2334811300
2025-10-24,3271.06,3279.82,3256.89,3269.45,2359851500
2025-10-27,3304.4,3328.93,3299.67,3325.05,2172475900
2025-10-28,3317.54,3317.55,3283.35,3285.87,2531018700
2025-10-29,3291.26,3294.03,3275.11,3278.24,2587009100
2025-10-30,3278.29,3306.52,3273.37,3300.79,3972155700
2025-10-31,3316.47,3348.06,3309.07,3331.83,3124558300
2025-11-04,3327.11,3352.79,3310.04,3310.14,3329546100
2025-11-05,3300.06,3303.2,3200.08,3268.29,3709805000
2025-11-06,3291.13,3323.35,3291.13,3313.45,3096628300
2025-11-07,3295.08,3304.89,3268.97,3298.85,2816573100
2025-11-10,3317.79,3320.56,3303.17,3317.42,2697016000
2025-11-11,3336.44,3343.69,3309.7,3321.58,2683305000
2025-11-12,3336.78,3362.43,3333.11,3359.33,3029230300
2025-11-13,3368.09,3389.12,3367.39,3381.72,2707387000
2025-11-14,3349.89,3364.56,3341.85,3359.81,2759432300
2025-11-17,3350.03,3353.53,3331.38,3347.53,2564229300
2025-11-18,3321.56,3330.38,3251.1,3251.1,2627887600
2025-11-19,3260.97,3275.82,3227.46,3245.58,2658920600
2025-11-20,3282.2,3333.46,3281.28,3299.57,2618762900
2025-11-21,3273.43,3308.22,3265.7,3297.73,3553983600
2025-11-25,3318.22,3322.02,3279.9,3290.89,2657249400
2025-11-26,3314.04,3360.5,3313.26,3355.5,2525735900
2025-11-27,3367.22,3381.74,3365.26,3368.57,2098396000
2025-11-28,3366.66,3381.42,3363.05,3378.44,2108451300
2025-12-01,3380.02,3383.23,3335.08,3338.33,2392305500
2025-12-02,3349.16,3357.33,3334.4,3341.06,2346595200
2025-12-03,3343.39,3349.62,3327.02,3334.32,2353202700
2025-12-04,3340.71,3400.28,3337.96,3398.21,2407009500
2025-12-05,3370.81,3375.94,3349.03,3362.56,2311102500
2025-12-08,3369.21,3385.27,3355.45,3384.31,2176152200
2025-12-09,3390.64,3397.46,3377.41,3384.92,2268215900
2025-12-10,3394.27,3408.99,3376.4,3389.02,2509600800
2025-12-11,3408.63,3410.97,3352.13,3357.24,2243645900
2025-12-12,3389.62,3428.34,3388.87,3423.83,2470970800
2025-12-15,3413.11,3434.6,3409.34,3431.47,2505854300
2025-12-16,3427.94,3427.94,3370.5,3370.5,2479530800
2025-12-17,3366.24,3374.03,3343.88,3369.39,2310485100
2025-12-18,3354.6,3367.08,3341.8,3356.89,2255000100
2025-12-19,3372.42,3397.08,3366.77,3383.66,2926211500
2025-12-22,3415.79,3422.54,3402.62,3405.17,2274811100
2025-12-23,3410.03,3427.87,3408.66,3423.25,2018203100
2025-12-24,3422.35,3430.89,3403.67,3407.37,1900657400
2025-12-25,3420.23,3420.23,3405.03,3417.98,1516026400
2025-12-26,3423.51,3436.75,3411.48,3423.06,1806504500
2025-12-29,3422,3431.89,3409.09,3426.52,1860988400
2025-12-30,3419.15,3425.1,3408.97,3408.97,1744087000
2026-01-05,3448.77,3486,3448.77,3477.52,2372819800
2026-01-06,3505.53,3539.98,3505.39,3538.44,2633424600
2026-01-07,3508.91,3526.56,3502.81,3511.34,2585235200
2026-01-08,3501.66,3509.82,3481.76,3484.34,2502392800
2026-01-09,3494.87,3518.34,3488.24,3514.11,2472258100
2026-01-13,3566.42,3604.16,3562.62,3598.89,2936712000
2026-01-14,3612.71,3644.16,3607.83,3644.16,2670409100
2026-01-15,3636.25,3674.71,3636.25,3668.98,2625286800
2026-01-16,3655.81,3666.47,3642.63,3658.68,2579455800
2026-01-19,3634.9,3657.98,3619.82,3656.4,2306357600
2026-01-20,3640.56,3646.15,3619.73,3625.6,2323911800
2026-01-21,3577.95,3599.76,3568.9,3589.7,2455501400
2026-01-22,3625.13,3632.55,3614.16,3616.38,2579825600
2026-01-23,3634.48,3648.66,3621.46,3629.7,2253008100
2026-01-26,3581.08,3581.54,3548.39,3552.49,2424040200
2026-01-27,3544.24,3567.96,3526.09,3563.59,2306337300
2026-01-28,3536.24,3548.69,3520.4,3535.49,2476727800
2026-01-29,3529.29,3556.17,3507.72,3545.3,2658952900
2026-01-30,3556.77,3574.41,3536.26,3566.32,2648976000
2026-02-02,3597.27,3628.41,3533.78,3536.13,2668752000
2026-02-03,3577.54,3650.51,3575,3645.84,2578138600
2026-02-04,3636.87,3659.17,3621.69,3655.58,3007177500
2026-02-05,3668.08,3686.09,3638.62,3652.41,3237523700
2026-02-06,3635,3699,3613.47,3699,3008807900
2026-02-09,3756.21,3825.67,3752.74,3783.57,3253775000
2026-02-10,3809.22,3863.9,3808.45,3855.28,3102268200
2026-02-12,3855.98,3888.94,3850.02,3882.16,3263823900
2026-02-13,3861.27,3871.83,3815.48,3818.85,3617976400
2026-02-16,3824.12,3828.34,3784.53,3787.38,2665144100
2026-02-17,3781.43,3794.94,3746.33,3761.55,2462996600
2026-02-18,3783.75,3817.33,3783.32,3807.25,2455005800
2026-02-19,3822.19,3858.5,3814.94,3852.09,2514655800
2026-02-20,3821,3821,3794.9,3808.48,2647052800
2026-02-24,3806.15,3824.46,3792.28,3815.98,2853160000
2026-02-25,3829.76,3861.42,3808.16,3843.16,2959202000
2026-02-26,3875.54,3903.35,3873.8,3880.34,2793894000
2026-02-27,3878.86,3938.68,3876.87,3938.68,3317330300
2026-03-02,3882.67,3898.42,3824,3898.42,2904169000
2026-03-03,3867.37,3873.59,3763.43,3772.17,3199530800
2026-03-04,3718.32,3723.37,3589.25,3633.67,3609678900
2026-03-05,3695.75,3777.3,3681.9,3702.67,2974247300
2026-03-06,3667.6,3721.11,3652.16,3716.93
